,order_id,,,order_date,customer_id,customer_ref,customer_name,customer_email,sku,product_name,quantity,unit_price,order_value,weight,dispatch_date,delivery_date,oms_status,delivery_status,courier_partner,courier_ref,awb,payment_mode,payment_status,delivery_pincode,delivery_city,delivery_state,last_updated
1,SAJ-2606-10001,TRUE,,19/06/26,CUS-0106,CUS-0106,Ananya Mishra,ananya.mishra6@example.com,LCH-900-IV,Lunch Box 900ml,2,899,1798,1.28,06/21/2026,TBD,Returned,RTO,MileMitra,MileMitra,AW682400001,UPI,Refunded,500001,Hyderabad,Telangana,27/06/26 17:06
1,SAJ-2606-10002,TRUE,,28/06/26,CUS-0123,CUS-0123,Ritvik Menon,ritvik.menon23@example.com,LCH-900-IV,Lunch Box 900ml,1,899,899,0.64,30/06/26,TBD,Shipped,Out for Delivery,DakTrail,DakTrail,AW682400002,COD,Pending,682001,Kochi,Kerala,30/06/26 9:12
1,SAJ-2606-10003,TRUE,,17/06/26,CUS-0140,CUS-0140,Riya Shah,riya.shah40@example.com,MAT-YG-ST,Yoga Mat Stone,3,1499,4497,2.55,19/06/26,21/06/26,Fulfilled,Delivered,ParcelNest,ParcelNest,AW682400003,Card,Paid,400001,Mumbai,Maharashtra,21/06/26 14:35
1,SAJ-2606-10004,FALSE,21/06/26,06/21/2026,CUS-0157,CUS-0157,Vivaan Naik,vivaan.naik57@example.com,BED-QN-SG,Queen Bedsheet Sage,1,1899,1899,1.1,23/06/26,28/06/26,Fulfilled,Delivered,ParcelNest,ParcelNest,AW682400004,COD,Collected,302001,Jaipur,Rajasthan,28/06/26 17:06
2,SAJ-2606-10005,TRUE,,24/06/26,CUS-0102,CUS-0102,Diya Das,diya.das2@example.com,LCH-900-IV,Lunch Box 900ml,2,899,1798,1280,06/26/2026,01/01/00,Shipped,In Transit,RouteKart,RouteKart,AW682400005,UPI,Paid,380001,Ahmedabad,Gujarat,27/06/26 18:20
2,SAJ-2606-10005,TRUE,,28/06/26,CUS-0119,CUS-0119,Kunal Mehta,kunal.mehta19@example.com,PCH-TRV-BL,Travel Pouch Blue,3,399,1197,0.54,30/06/26,,Shipped,In Transit,DakTrail,DakTrail,AW682400006,Card,Paid,641001,Coimbatore,Tamil Nadu,30/06/26 9:12
1,SAJ-2606-10006,TRUE,,27/06/26,CUS-0136,CUS-0136,Tara Bhat,tara.bhat36@example.com,TRAY-BMB-M,Bamboo Serving Tray,1,999,999,0.72,29/06/26,,Shipped,In Transit,DakTrail,DakTrail,AW682400007,Card,Paid,411001,Puna,Maharashtra,30/06/26 17:06
1,SAJ-2606-10007,FALSE,14/06/26,06/14/2026,CUS-0153,CUS-0153,Ishaan Sethi,N/A,TWL-2P-NT,Cotton Hand Towel Pair,2,449,898,0.56,15/06/26,20/06/26,Fulfilled,Delivered,DakTrail,DakTrail,AW682400008,Card,Paid,160017,Chandigarh,chandigarh,20/06/26 19:22
1,SAJ-2606-10008,FALSE,21/06/26,06/21/2026,CUS-0170,CUS-0170,Aditi Mishra,aditi.mishra70@example.com,TRAY-BMB-M,Bamboo Serving Tray,2,999,1998,1.44,06/23/2026,NULL,Returned,RTO,RouteKart,RouteKart,AW682400009,Net Banking,Refunded,500001,HYDERABAD,Telangana,29/06/26 9:12
1,SAJ-2606-10009,TRUE,,19/06/26,CUS-0115,CUS-0115,Dev Patil,dev.patil15@example.com,MAT-YG-ST,Yoga Mat Stone,3,1499,4497,2550,06/21/2026,06/26/2026,Fulfilled,Delivered,RouteKart,RouteKart,AW682400010,COD,Collected,110001, New Delhi  ,Delhi,26/06/26 19:22
1,SAJ-2606-10010,TRUE,,13/06/26,CUS-0132,CUS-0132,Kavya Kapoor,kavya.kapoor32@example.com,BED-QN-SG,Queen Bedsheet Sage,2,1899,"₹3,798 ",2200,15/06/26,06/20/2026,Fulfilled,Delivered,RouteKart,RouteKart,AW682400011,UPI,Paid,226001,Lucknow,Uttar Pradesh,20/06/26 19:22
1,SAJ-2606-10011,TRUE,,21/06/26,CUS-0149,CUS-0149,Aarav Khanna,aarav.khanna49@example.com,JAR-3P-CL,Glass Spice Jar Trio,1,1199,1199,1.25,22/06/26,26/06/26,Fulfilled,delivered ,MileMitra,MileMitra,AW682400012,UPI,Paid,560001,Bengaluru,Karnataka,26/06/26 11:48
1,SAJ-2606-10012,FALSE,26/06/26,06/26/2026,CUS-0166,CUS-0166,Sana Das,sana.das66@example.com,JAR-3P-CL,Glass Spice Jar Trio,2,1199,INR 2398.00,2.5,TBD,N/A,Processing,Not Shipped,DakTrail,DakTrail,NULL,Net Banking,Paid,380001,Ahmedabad,Gujarat,30/06/26 9:12
